Entidad,Municipio,Superficie Sembrada,Superficie Cosechada,Superficie Siniestrada,Produccion,Rendimiento,Anio,Mes,Cultivo
Jalisco,Talpa de Allende,18.50,0.00,0.00,0.00,0,2019,6,6
Jalisco,Tamazula de Gordiano,1.10,0.00,0.00,0.00,0,2019,6,6
Jalisco,Tecalitlán,349.00,0.00,0.00,0.00,0,2019,6,6
Jalisco,Tecolotlán,278.00,41.00,0.00,"3,457.53",84.33,2019,6,6
Jalisco,Techaluta de Montenegro,132.24,0.00,0.00,0.00,0,2019,6,6
Jalisco,Tenamaxtlán,295.00,45.98,0.00,"3,570.43",77.65,2019,6,6
Jalisco,Teocaltiche,55.00,0.00,0.00,0.00,0,2019,6,6
Jalisco,Teocuitatlán de Corona,487.65,0.00,0.00,0.00,0,2019,6,6
Jalisco,Tepatitlán de Morelos,"4,953.00",877.40,0.00,"75,844.57",86.44,2019,6,6
Jalisco,Tequila,"4,845.00",836.94,0.00,"78,263.00",93.51,2019,6,6
Jalisco,Teuchitlán,528.00,125.00,0.00,"10,200.00",81.60,2019,6,6
Jalisco,Tizapán El Alto,150.00,18.00,0.00,"1,674.00",93.00,2019,6,6
Jalisco,Tlajomulco de Zúñiga,293.75,90.00,0.00,"7,200.05",80.00,2019,6,6
Jalisco,Tolimán,"1,245.34",0.00,0.00,0.00,0,2019,6,6
Jalisco,Tonalá,58.00,0.00,0.00,0.00,0,2019,6,6
Jalisco,Tonaya,"1,218.00",21.50,0.00,"1,658.00",77.12,2019,6,6
Jalisco,Tonila,630.00,19.09,0.00,"1,689.79",88.52,2019,6,6
Jalisco,Totatiche,2.00,0.00,0.00,0.00,0,2019,6,6
Jalisco,Tototlán,663.00,73.00,0.00,"6,424.00",88.00,2019,6,6
Jalisco,Tuxcacuesco,720.00,8.00,0.00,602.55,75.32,2019,6,6
Jalisco,Tuxcueca,45.00,0.00,0.00,0.00,0,2019,6,6
Jalisco,Tuxpan,"1,290.00",49.15,0.00,"4,178.05",85.01,2019,6,6
Jalisco,Unión de San Antonio,104.00,12.87,0.00,"1,030.05",80.03,2019,6,6
Jalisco,Unión de Tula,181.00,12.00,0.00,852.38,71.03,2019,6,6
Jalisco,Valle de Guadalupe,263.00,0.00,0.00,0.00,0,2019,6,6
Jalisco,San Gabriel,"3,039.66",149.86,0.00,"12,738.42",85.00,2019,6,6
Jalisco,Villa Corona,568.60,145.00,0.00,"12,905.70",89.00,2019,6,6
Jalisco,Villa Guerrero,3.00,0.00,0.00,0.00,0,2019,6,6
Jalisco,Villa Hidalgo,51.00,0.00,0.00,0.00,0,2019,6,6
Jalisco,Cañadas de Obregón,730.00,253.91,0.00,"22,446.33",88.40,2019,6,6
Jalisco,Yahualica de González Gallo,957.00,167.65,0.00,"13,967.13",83.31,2019,6,6
Jalisco,Zacoalco de Torres,"1,579.44",0.00,0.00,0.00,0,2019,6,6
Jalisco,Zapopan,525.00,135.00,0.00,"11,610.00",86.00,2019,6,6
Jalisco,Zapotiltic,54.00,10.00,0.00,680.87,68.09,2019,6,6
Jalisco,Zapotitlán de Vadillo,244.49,0.00,0.00,0.00,0,2019,6,6
Jalisco,Zapotlán del Rey,63.00,20.00,0.00,"1,796.00",89.80,2019,6,6
Jalisco,Zapotlanejo,403.00,0.00,0.00,0.00,0,2019,6,6
México,Malinalco,200.00,32.50,0.00,"2,658.50",81.80,2019,6,6
México,Tenancingo,63.00,0.00,0.00,0.00,0,2019,6,6
México,Zacualpan,39.00,0.00,0.00,0.00,0,2019,6,6
México,Zumpahuacán,67.00,0.00,0.00,0.00,0,2019,6,6
Michoacán,Álvaro Obregón,12.00,7.00,0.00,127.80,18.26,2019,6,6
Michoacán,Angamacutiro,10.00,0.00,0.00,0.00,0,2019,6,6
Michoacán,Briseñas,16.00,1.00,0.00,40.00,40.00,2019,6,6
Michoacán,Contepec,1.00,0.00,0.00,0.00,0,2019,6,6
Michoacán,Cotija,88.00,0.00,0.00,0.00,0,2019,6,6
Michoacán,Churintzio,340.00,0.00,0.00,0.00,0,2019,6,6
Michoacán,Jiquilpan,201.00,19.00,0.00,"1,300.00",68.42,2019,6,6
Michoacán,Juárez,1.00,0.00,0.00,0.00,0,2019,6,6
Michoacán,Madero,223.00,0.00,0.00,0.00,0,2019,6,6
Michoacán,Maravatío,72.00,0.00,0.00,0.00,0,2019,6,6
Michoacán,Marcos Castellanos,70.00,3.00,0.00,150.00,50.00,2019,6,6
Michoacán,Morelia,404.00,0.00,0.00,0.00,0,2019,6,6
Michoacán,Numarán,53.00,0.00,0.00,0.00,0,2019,6,6
Michoacán,Pajacuarán,45.00,3.00,0.00,180.00,60.00,2019,6,6
Michoacán,Peribán,144.00,0.00,0.00,0.00,0,2019,6,6
Michoacán,La Piedad,649.00,0.00,0.00,0.00,0,2019,6,6
Michoacán,Queréndaro,419.00,3.00,0.00,85.00,28.33,2019,6,6
Michoacán,Cojumatlán de Régules,80.00,2.00,0.00,160.00,80.00,2019,6,6
Michoacán,Los Reyes,166.00,0.00,0.00,0.00,0,2019,6,6
